Institution,Q3_SATMath,Q7_ACTMath,Q15_CalculusNonAPFinalGrade,Q17_CalculusABFinalGrade,Q17_CalculusBCFinalGrade,Q18,Q26,Q29_Confident,Q48,Q60,Q3Post,Q4Post_NeverIntended,Q4Post_Major,Q4Post_Experience,Q4Post_OtherCourses,Q4Post_Time,Q4Post_Grade,Q4Post_Understand,Q5Post,Q6Post_Confident,Q18Post_AskedQs,Q18Post_Listened,Q18Post_Applications,Q18Post_Time,Q18Post_ProblemSolver,Q18Post_Explanations,Q18Post_Appointments,Q18Post_Discouraged,Q19Post_SpecificProblems,Q19Post_WorkTogether,Q19Post_Discussion,Q19Post_Presentations,Q19Post_Individually,Q19Post_Lecture,Q19Post_AskQuestions,Q19Post_ExplainThinking
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,5,4,4,6,6,6,2,4,4,5,5,5,6,4,5
151,700,NA,NA,NA,NA,2,1,4,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,6,6,2,5,5,5,1,5,5,5,5
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,3,5,6,6,1,5,4,6,6,5,6,5,5
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,5,6,6,5,4,6,6,1,6,6,2,1,3,6,6,4
151,670,32,NA,NA,NA,2,1,5,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,5,5,5,5,5,5,1,6,5,2,1,3,6,4,2
151,600,NA,3,NA,NA,2,1,4,2,8,1,NA,NA,NA,NA,NA,NA,NA,1,3,6,6,6,6,6,6,6,1,6,6,6,1,6,5,5,4
151,600,27,NA,NA,NA,2,2,5,1,7,1,NA,NA,NA,NA,NA,NA,NA,3,4,3,5,3,1,3,2,5,5,4,2,1,1,4,6,3,2
151,640,NA,6,NA,NA,2,1,6,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,5,6,5,5,5,5,2,5,4,4,1,5,6,5,4
151,590,NA,3,NA,NA,2,1,5,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,5,3,5,5,4,5,5,5,1,6,4,2,1,5,5,3,2
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,1,5,4,5,5,5,5,5,5,2,4,4,3,6,3,5,5,5
151,680,NA,NA,4,NA,2,1,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,5,2,5,5,3,6,6,5,4,5,6,5,4
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,5,4,3,3,3,6,1,6,1,3,1,1,6,5,1
151,570,NA,NA,NA,NA,2,1,4,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,4,5,5,5,5,5,5,5,2,5,3,5,1,2,6,5,3
151,720,NA,NA,NA,NA,2,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,630,NA,NA,NA,NA,2,1,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,5,5,5,5,5,5,5,1,3,3,2,6,4,6,4,4
151,NA,34,NA,NA,NA,2,1,4,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,620,NA,NA,NA,NA,2,3,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,4,3,5,4,2,5,5,5,6,4,1,1,4,6,5,2
151,560,26,5,5,NA,2,1,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,620,NA,NA,NA,NA,2,1,6,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,4,4,3,5,5,5,1,5,4,3,6,6,6,5,6
151,NA,29,3,NA,NA,2,1,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,6,6,5,5,5,5,2,5,4,3,1,2,6,5,3
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,6,5,4,4,6,5,2,5,4,5,6,5,6,5,6
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,4,4,6,6,4,6,6,6
151,590,NA,NA,2,4,2,1,5,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,2,3,5,4,1,3,4,5,6
151,650,27,NA,6,NA,2,1,5,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5
151,700,NA,3,NA,NA,2,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,4,4,1,6,5,6,1,4,6,6,5
151,570,NA,NA,NA,NA,2,1,5,2,6,1,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,5,5,4,5,5,3,6,6,4,1,1,6,6,6
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,5,3,5,5,5,3,NA,4,2,5,2,3,1,2,6,6,3
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,4,5,6,6,2,4,4,5,5,5,6,5,6
151,700,13,NA,NA,NA,2,1,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,3,3,4,4,2,4,3,2,2,3,6,5,3
151,NA,24,NA,2,NA,2,1,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,780,NA,NA,NA,NA,2,1,6,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,2,5,5,2,1,4,5,4,3
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,6,6,5,4,5,6,NA,1,3,5,4,6,4,6,6,6
